13.15	4.44	10.4
13.26	2.07	10.2
13.32	-0.02	10.6
13.34	4.8	10.6
13.41	0.28	11.7
13.46	4.82	10.8
13.49	3.71	10.4
13.5	4.89	11.3
13.6	-0.09	12.5
13.61	-0.12	11.4
13.69	3.27	10
13.84	0.7	12.3
13.92	4	11
14.08	4.16	12
14.27	0.22	10.2
14.39	2.55	10.5
14.57	3.27	10.7
14.59	3.4	12.7
14.68	1.94	11.1
14.79	4.86	11.2
14.83	4.15	11.7
14.85	4.04	10.4
15	2.44	10.7
15	2.34	10.4
15.04	3.33	12.1
15.05	-0.04	11.2
15.1	4.15	12.7
15.1	2.28	10.1
15.11	4.64	11.5
15.29	4.73	11.7
15.45	3.43	12
15.53	4.96	13.1
15.54	0.01	13.3
15.73	4.58	12.7
15.76	4.47	14.4
15.79	1.35	11.1
15.9	0.19	11.7
15.96	2.24	12.8
15.96	1.8	10.7
15.99	2.22	10.6
16.08	0.25	11.4
16.08	0.37	14.5
16.09	0.69	11.5
16.16	4.76	11
16.39	2.06	11.2
16.47	2.87	11.4
16.48	1.58	12.8
16.58	1.73	14.5
16.63	-0.19	11.6
16.84	1.35	12
16.95	0.72	12.2
17.02	1.01	11.5
17.08	4.14	14.1
17.24	-0.16	13.3
17.28	2.61	12.9
17.3	0.99	12.2
17.41	3.56	12.8
17.44	-0.47	11.7
17.61	2.12	12.3
17.64	4.88	14.9
17.68	3.78	13.9
17.81	0.21	14.9
17.94	0.48	12.1
18.02	2.56	13.6
18.03	4.65	13.7
18.17	2.52	12.2
18.18	4.07	14.8
18.27	4.47	14.6
18.65	4.48	14.7
18.66	2.33	13.7
18.72	3.44	12.7
18.73	2.74	14.8
18.77	-0.89	13.2
18.89	4.16	12.8
19.08	2.25	13.5
19.08	1.76	13.8
19.25	4.57	12.9
19.27	4.34	14.5
19.46	0.25	13.3
19.56	3.78	14.3
19.57	1.44	13.7
19.71	1.84	13.1
19.71	4.34	14.5
19.72	0.22	14.6
19.73	0.76	14.9
19.8	2.68	14.2
19.95	3.24	14.5
19.99	0.93	14.5
20.11	3.19	14.8
20.14	4.37	13.9
20.16	1.41	14.2
20.38	1.41	14.6
20.4	2.65	14.2
20.72	5.96	14.8
20.85	0.32	14.5
20.95	3.68	14.6
21.03	2.12	14.2
21.05	1.87	14.9
21.18	3.05	14.5
21.26	1.48	14.5
